Match_ID,Date,Time,Team_A,Team_B,Venue,Weather,Toss_Winner,Toss_Decision,Outcome
M0029,2024-09-04,15:00,"Player51, Player42, Player64, Player39, Player26, Player49, Player66, Player95, Player4, Player34, Player30","Player5, Player62, Player10, Player30, Player2, Player59, Player21, Player50, Player69, Player31, Player74",Wankhede,Cloudy,Team_B,Bowl,Team_B_Wins
M0030,2024-02-22,18:00,"Player68, Player25, Player42, Player3, Player67, Player58, Player62, Player64, Player55, Player15, Player9","Player87, Player17, Player86, Player48, Player31, Player34, Player24, Player95, Player85, Player60, Player1",Eden Gardens,Sunny,Team_B,Bowl,Team_B_Wins
M0031,2022-07-25,15:00,"Player30, Player10, Player4, Player79, Player58, Player15, Player90, Player53, Player21, Player82, Player7","Player54, Player85, Player15, Player56, Player68, Player69, Player32, Player4, Player73, Player80, Player55",Wankhede,Rainy,Team_B,Bat,Team_A_Wins
M0032,2020-06-02,15:00,"Player72, Player48, Player53, Player62, Player75, Player78, Player47, Player10, Player32, Player85, Player38","Player85, Player95, Player12, Player49, Player13, Player79, Player39, Player43, Player100, Player60, Player65",MCG,Cloudy,Team_A,Bowl,Team_B_Wins
M0033,2023-10-04,13:00,"Player52, Player62, Player21, Player92, Player74, Player70, Player98, Player12, Player85, Player100, Player95","Player33, Player97, Player66, Player92, Player77, Player8, Player32, Player5, Player43, Player75, Player98",Eden Gardens,Humid,Team_A,Bowl,Team_A_Wins
M0034,2022-12-17,17:00,"Player24, Player68, Player48, Player20, Player51, Player4, Player84, Player63, Player75, Player19, Player50","Player81, Player57, Player5, Player56, Player23, Player64, Player34, Player63, Player96, Player99, Player38",Eden Gardens,Rainy,Team_A,Bat,Team_B_Wins
M0035,2023-07-01,13:00,"Player61, Player32, Player56, Player90, Player62, Player49, Player87, Player97, Player92, Player70, Player39","Player15, Player13, Player66, Player49, Player94, Player75, Player5, Player43, Player90, Player96, Player97",Eden Gardens,Humid,Team_B,Bowl,Team_A_Wins
M0036,2024-04-02,20:00,"Player47, Player17, Player80, Player8, Player70, Player59, Player42, Player67, Player56, Player62, Player68","Player8, Player57, Player11, Player33, Player55, Player66, Player29, Player56, Player20, Player14, Player21",Newlands,Cloudy,Team_B,Bowl,Team_B_Wins
M0037,2024-01-31,15:00,"Player46, Player4, Player92, Player59, Player11, Player35, Player79, Player24, Player15, Player22, Player89","Player49, Player37, Player38, Player16, Player80, Player13, Player41, Player43, Player5, Player55, Player75",Wankhede,Cloudy,Team_A,Bowl,Team_B_Wins
M0038,2023-07-26,15:00,"Player86, Player46, Player78, Player76, Player84, Player75, Player63, Player31, Player11, Player99, Player80","Player73, Player70, Player21, Player24, Player43, Player44, Player62, Player81, Player4, Player98, Player14",MCG,Rainy,Team_A,Bat,Team_A_Wins
M0039,2021-04-15,13:00,"Player85, Player83, Player22, Player45, Player88, Player77, Player70, Player74, Player91, Player79, Player94","Player97, Player19, Player60, Player59, Player69, Player87, Player32, Player21, Player82, Player90, Player76",MCG,Cloudy,Team_A,Bat,Team_A_Wins
M0040,2023-05-23,18:00,"Player15, Player24, Player27, Player83, Player38, Player8, Player6, Player25, Player80, Player34, Player43","Player73, Player54, Player16, Player43, Player27, Player19, Player99, Player40, Player24, Player74, Player86",MCG,Rainy,Team_A,Bat,Team_A_Wins
M0041,2023-07-11,13:00,"Player37, Player78, Player34, Player97, Player61, Player35, Player47, Player45, Player4, Player15, Player11","Player61, Player34, Player30, Player75, Player94, Player33, Player86, Player91, Player65, Player90, Player36",Eden Gardens,Cloudy,Team_B,Bat,Team_A_Wins
M0042,2022-10-22,18:00,"Player60, Player66, Player49, Player88, Player59, Player78, Player73, Player6, Player27, Player56, Player11","Player77, Player23, Player13, Player51, Player52, Player63, Player94, Player75, Player98, Player59, Player22",Wankhede,Humid,Team_B,Bowl,Team_A_Wins
M0043,2020-02-28,14:00,"Player93, Player79, Player64, Player46, Player16, Player72, Player62, Player98, Player85, Player65, Player20","Player68, Player17, Player36, Player31, Player83, Player74, Player75, Player38, Player43, Player1, Player64",Wankhede,Rainy,Team_B,Bat,Team_B_Wins
M0044,2020-06-03,12:00,"Player88, Player51, Player66, Player2, Player65, Player30, Player45, Player23, Player18, Player81, Player82","Player30, Player11, Player68, Player61, Player1, Player75, Player63, Player67, Player56, Player91, Player18",Eden Gardens,Humid,Team_B,Bowl,Team_A_Wins
M0045,2021-02-18,19:00,"Player100, Player2, Player60, Player77, Player14, Player94, Player25, Player96, Player4, Player88, Player1","Player82, Player67, Player27, Player53, Player72, Player64, Player36, Player22, Player49, Player90, Player42",Newlands,Humid,Team_B,Bowl,Team_B_Wins
M0046,2021-12-17,17:00,"Player93, Player31, Player82, Player32, Player58, Player75, Player78, Player64, Player35, Player61, Player9","Player73, Player76, Player93, Player64, Player6, Player53, Player25, Player32, Player8, Player49, Player41",Wankhede,Cloudy,Team_A,Bat,Team_A_Wins
M0047,2021-12-23,18:00,"Player53, Player13, Player3, Player46, Player100, Player95, Player49, Player50, Player39, Player11, Player67","Player67, Player75, Player57, Player38, Player53, Player35, Player39, Player71, Player44, Player81, Player60",Lord’s,Humid,Team_A,Bowl,Team_A_Wins
M0048,2023-09-30,14:00,"Player36, Player60, Player7, Player1, Player94, Player24, Player62, Player39, Player69, Player46, Player27","Player42, Player54, Player35, Player32, Player34, Player100, Player89, Player55, Player94, Player96, Player97",Lord’s,Sunny,Team_A,Bat,Team_B_Wins
M0049,2021-01-10,14:00,"Player4, Player6, Player49, Player67, Player53, Player62, Player80, Player84, Player29, Player50, Player31","Player51, Player58, Player46, Player35, Player67, Player42, Player2, Player5, Player85, Player76, Player71",Wankhede,Cloudy,Team_B,Bat,Team_B_Wins
M0050,2023-01-24,17:00,"Player74, Player12, Player71, Player34, Player33, Player40, Player22, Player55, Player42, Player94, Player62","Player81, Player76, Player66, Player23, Player88, Player30, Player38, Player85, Player74, Player12, Player20",MCG,Cloudy,Team_A,Bat,Team_B_Wins
M0051,2021-02-16,13:00,"Player48, Player44, Player78, Player85, Player99, Player82, Player14, Player87, Player83, Player29, Player80","Player99, Player98, Player8, Player90, Player94, Player20, Player25, Player72, Player81, Player100, Player38",Lord’s,Rainy,Team_A,Bowl,Team_A_Wins
M0052,2023-06-04,17:00,"Player73, Player17, Player47, Player99, Player37, Player6, Player2, Player25, Player84, Player80, Player48","Player15, Player92, Player53, Player40, Player23, Player82, Player62, Player99, Player50, Player48, Player65",Newlands,Rainy,Team_B,Bat,Team_A_Wins
M0053,2022-06-03,12:00,"Player100, Player99, Player19, Player26, Player31, Player24, Player58, Player28, Player67, Player15, Player11","Player28, Player24, Player91, Player92, Player7, Player25, Player93, Player61, Player79, Player52, Player64",Eden Gardens,Cloudy,Team_A,Bowl,Team_A_Wins
M0054,2021-03-20,13:00,"Player97, Player49, Player8, Player26, Player85, Player69, Player67, Player9, Player38, Player56, Player61","Player30, Player49, Player26, Player88, Player59, Player12, Player95, Player24, Player96, Player39, Player87",Eden Gardens,Humid,Team_A,Bat,Team_B_Wins
M0055,2022-09-28,12:00,"Player18, Player66, Player39, Player58, Player9, Player8, Player96, Player22, Player90, Player62, Player94","Player72, Player22, Player83, Player15, Player1, Player47, Player28, Player60, Player38, Player80, Player62",MCG,Rainy,Team_A,Bowl,Team_B_Wins
M0056,2020-08-16,14:00,"Player19, Player99, Player54, Player97, Player45, Player53, Player40, Player90, Player27, Player46, Player78","Player44, Player38, Player24, Player78, Player82, Player74, Player14, Player92, Player7, Player12, Player21",Wankhede,Cloudy,Team_A,Bowl,Team_A_Wins
M0057,2024-10-19,12:00,"Player52, Player49, Player76, Player70, Player55, Player14, Player36, Player66, Player19, Player28, Player79","Player35, Player63, Player100, Player89, Player80, Player66, Player51, Player95, Player94, Player52, Player65",Lord’s,Humid,Team_B,Bat,Team_A_Wins
M0058,2020-09-03,16:00,"Player56, Player20, Player44, Player95, Player1, Player3, Player60, Player63, Player46, Player2, Player48","Player2, Player17, Player34, Player67, Player10, Player75, Player68, Player81, Player4, Player22, Player65",MCG,Humid,Team_B,Bowl,Team_B_Wins
M0059,2022-09-03,19:00,"Player2, Player62, Player86, Player23, Player81, Player10, Player44, Player90, Player43, Player30, Player98","Player62, Player58, Player76, Player92, Player56, Player100, Player95, Player54, Player29, Player16, Player13",Newlands,Humid,Team_A,Bowl,Team_A_Wins
M0060,2024-01-04,12:00,"Player93, Player24, Player30, Player72, Player56, Player57, Player39, Player45, Player89, Player5, Player14","Player67, Player34, Player80, Player41, Player4, Player73, Player16, Player32, Player42, Player78, Player68",Wankhede,Humid,Team_B,Bat,Team_B_Wins
M0061,2022-11-08,19:00,"Player85, Player26, Player88, Player79, Player75, Player54, Player15, Player43, Player42, Player87, Player49","Player90, Player50, Player94, Player61, Player10, Player1, Player43, Player45, Player71, Player24, Player55",Wankhede,Sunny,Team_A,Bowl,Draw
M0062,2022-11-29,18:00,"Player57, Player71, Player82, Player90, Player34, Player27, Player36, Player66, Player3, Player19, Player63","Player89, Player58, Player99, Player4, Player64, Player25, Player33, Player29, Player98, Player96, Player56",Wankhede,Cloudy,Team_A,Bowl,Team_B_Wins
M0063,2020-12-25,16:00,"Player25, Player56, Player31, Player15, Player72, Player58, Player14, Player94, Player16, Player82, Player40","Player69, Player45, Player2, Player83, Player58, Player94, Player50, Player96, Player85, Player18, Player29",Lord’s,Humid,Team_B,Bat,Team_B_Wins
M0064,2021-04-16,19:00,"Player69, Player39, Player9, Player92, Player80, Player77, Player19, Player24, Player81, Player34, Player89","Player92, Player84, Player17, Player37, Player6, Player69, Player98, Player20, Player46, Player88, Player30",Wankhede,Rainy,Team_B,Bowl,Team_A_Wins
M0065,2024-07-31,13:00,"Player67, Player43, Player74, Player52, Player55, Player69, Player24, Player70, Player99, Player92, Player36","Player58, Player75, Player27, Player92, Player88, Player8, Player44, Player68, Player42, Player99, Player26",Eden Gardens,Rainy,Team_B,Bat,Team_A_Wins
M0066,2023-04-02,18:00,"Player36, Player61, Player98, Player49, Player45, Player28, Player89, Player25, Player79, Player29, Player51","Player94, Player20, Player97, Player30, Player16, Player59, Player77, Player36, Player43, Player31, Player5",Newlands,Sunny,Team_B,Bat,Draw
M0067,2022-06-10,14:00,"Player76, Player15, Player20, Player39, Player71, Player2, Player59, Player62, Player53, Player69, Player66","Player91, Player77, Player98, Player23, Player78, Player96, Player85, Player22, Player82, Player21, Player49",MCG,Humid,Team_A,Bowl,Team_B_Wins
M0068,2022-06-12,17:00,"Player3, Player36, Player69, Player31, Player9, Player73, Player48, Player98, Player42, Player90, Player61","Player66, Player37, Player3, Player61, Player49, Player46, Player21, Player7, Player70, Player93, Player59",Lord’s,Rainy,Team_B,Bat,Team_A_Wins
M0069,2024-08-27,18:00,"Player73, Player58, Player40, Player25, Player88, Player100, Player60, Player3, Player77, Player15, Player6","Player11, Player52, Player81, Player29, Player68, Player60, Player78, Player26, Player44, Player43, Player56",Newlands,Rainy,Team_B,Bat,Team_A_Wins
M0070,2024-07-14,13:00,"Player72, Player37, Player58, Player53, Player69, Player42, Player97, Player48, Player36, Player65, Player11","Player54, Player30, Player26, Player44, Player74, Player17, Player31, Player32, Player14, Player34, Player100",Wankhede,Sunny,Team_A,Bowl,Team_B_Wins
M0071,2023-09-06,17:00,"Player86, Player45, Player19, Player76, Player87, Player4, Player34, Player37, Player97, Player100, Player50","Player32, Player23, Player18, Player27, Player90, Player1, Player20, Player69, Player100, Player34, Player8",Wankhede,Sunny,Team_B,Bat,Team_A_Wins
M0072,2022-07-18,13:00,"Player51, Player70, Player90, Player92, Player19, Player42, Player31, Player21, Player55, Player1, Player37","Player63, Player50, Player14, Player89, Player10, Player17, Player34, Player20, Player87, Player78, Player2",Eden Gardens,Sunny,Team_B,Bat,Team_B_Wins
M0073,2022-07-05,18:00,"Player12, Player49, Player57, Player71, Player90, Player23, Player25, Player5, Player68, Player3, Player54","Player38, Player73, Player49, Player63, Player53, Player96, Player81, Player66, Player6, Player71, Player60",Eden Gardens,Humid,Team_B,Bowl,Team_B_Wins
M0074,2021-09-16,13:00,"Player97, Player87, Player35, Player53, Player45, Player38, Player15, Player30, Player18, Player42, Player31","Player24, Player60, Player100, Player28, Player7, Player55, Player97, Player33, Player87, Player43, Player14",Newlands,Rainy,Team_A,Bat,Team_A_Wins
M0075,2022-07-30,20:00,"Player46, Player42, Player67, Player33, Player43, Player96, Player44, Player83, Player11, Player9, Player78","Player63, Player38, Player89, Player47, Player26, Player12, Player22, Player58, Player65, Player17, Player78",Eden Gardens,Humid,Team_B,Bowl,Team_A_Wins
M0076,2022-01-31,15:00,"Player68, Player17, Player42, Player11, Player41, Player80, Player16, Player30, Player99, Player51, Player89","Player2, Player63, Player60, Player26, Player58, Player52, Player95, Player42, Player55, Player59, Player92",Wankhede,Sunny,Team_A,Bowl,Team_A_Wins
M0077,2022-12-19,14:00,"Player35, Player91, Player60, Player95, Player79, Player13, Player18, Player85, Player28, Player39, Player8","Player2, Player98, Player97, Player73, Player76, Player25, Player41, Player78, Player57, Player7, Player79",Newlands,Cloudy,Team_A,Bowl,Team_A_Wins
M0078,2021-05-06,18:00,"Player91, Player42, Player11, Player67, Player6, Player19, Player66, Player24, Player29, Player33, Player12","Player57, Player19, Player63, Player7, Player6, Player100, Player11, Player45, Player5, Player40, Player24",Wankhede,Rainy,Team_A,Bowl,Team_B_Wins
M0079,2020-05-27,19:00,"Player43, Player30, Player66, Player57, Player16, Player21, Player44, Player87, Player28, Player11, Player31","Player90, Player5, Player19, Player69, Player40, Player55, Player14, Player9, Player82, Player44, Player20",MCG,Rainy,Team_B,Bat,Team_A_Wins
M0080,2020-07-26,16:00,"Player48, Player75, Player63, Player32, Player25, Player93, Player74, Player78, Player60, Player65, Player17","Player67, Player47, Player71, Player97, Player69, Player34, Player68, Player76, Player35, Player11, Player5",Lord’s,Rainy,Team_B,Bat,Team_A_Wins
M0081,2020-04-22,18:00,"Player48, Player98, Player50, Player42, Player24, Player10, Player5, Player12, Player41, Player91, Player51","Player34, Player49, Player12, Player82, Player87, Player65, Player15, Player88, Player76, Player3, Player16",Newlands,Cloudy,Team_B,Bat,Team_B_Wins
M0082,2021-06-19,19:00,"Player68, Player43, Player6, Player8, Player22, Player65, Player39, Player37, Player2, Player50, Player51","Player1, Player28, Player84, Player63, Player60, Player50, Player67, Player94, Player15, Player89, Player30",MCG,Cloudy,Team_B,Bat,Team_B_Wins
M0083,2022-05-01,18:00,"Player86, Player74, Player75, Player13, Player68, Player54, Player49, Player58, Player50, Player25, Player8","Player31, Player29, Player97, Player56, Player76, Player70, Player13, Player28, Player44, Player67, Player92",Newlands,Sunny,Team_A,Bat,Team_B_Wins
M0084,2022-01-31,12:00,"Player52, Player75, Player92, Player40, Player85, Player97, Player18, Player15, Player20, Player45, Player25","Player19, Player97, Player73, Player5, Player31, Player44, Player37, Player24, Player49, Player52, Player13",Eden Gardens,Cloudy,Team_B,Bowl,Team_A_Wins
M0085,2024-02-23,16:00,"Player82, Player14, Player26, Player20, Player57, Player36, Player35, Player78, Player59, Player100, Player6","Player46, Player3, Player37, Player32, Player27, Player23, Player16, Player31, Player8, Player57, Player9",Newlands,Sunny,Team_A,Bowl,Team_A_Wins
M0086,2023-05-28,12:00,"Player9, Player27, Player60, Player21, Player48, Player33, Player24, Player76, Player96, Player17, Player44","Player99, Player7, Player10, Player75, Player4, Player49, Player12, Player70, Player2, Player22, Player33",Lord’s,Cloudy,Team_B,Bowl,Team_A_Wins
M0087,2020-01-09,19:00,"Player80, Player71, Player100, Player50, Player92, Player16, Player15, Player59, Player46, Player48, Player30","Player82, Player87, Player94, Player83, Player97, Player55, Player40, Player79, Player20, Player78, Player39",Eden Gardens,Rainy,Team_A,Bowl,Team_B_Wins
M0088,2020-11-20,16:00,"Player2, Player78, Player9, Player26, Player16, Player89, Player40, Player72, Player84, Player10, Player11","Player5, Player45, Player54, Player35, Player41, Player32, Player97, Player10, Player88, Player13, Player91",Lord’s,Sunny,Team_A,Bat,Team_B_Wins
M0089,2020-11-06,17:00,"Player61, Player1, Player11, Player88, Player57, Player97, Player55, Player18, Player59, Player100, Player30","Player17, Player67, Player44, Player46, Player73, Player75, Player56, Player40, Player62, Player37, Player43",Wankhede,Rainy,Team_A,Bowl,Draw
M0090,2024-04-14,19:00,"Player85, Player62, Player75, Player11, Player91, Player33, Player86, Player44, Player32, Player51, Player45","Player32, Player45, Player58, Player82, Player33, Player88, Player20, Player81, Player30, Player8, Player1",Lord’s,Rainy,Team_A,Bowl,Team_A_Wins
M0091,2021-11-14,17:00,"Player72, Player99, Player54, Player59, Player88, Player53, Player68, Player47, Player32, Player35, Player64","Player7, Player85, Player89, Player17, Player60, Player71, Player53, Player58, Player27, Player44, Player28",Eden Gardens,Sunny,Team_A,Bowl,Draw
M0092,2023-02-09,20:00,"Player96, Player74, Player84, Player3, Player14, Player22, Player11, Player60, Player21, Player43, Player25","Player93, Player74, Player23, Player83, Player67, Player73, Player43, Player96, Player31, Player7, Player24",MCG,Rainy,Team_B,Bowl,Team_A_Wins
M0093,2022-09-05,13:00,"Player53, Player62, Player33, Player55, Player14, Player88, Player97, Player47, Player24, Player69, Player80","Player67, Player42, Player63, Player21, Player96, Player37, Player95, Player70, Player5, Player39, Player86",Wankhede,Humid,Team_B,Bat,Team_B_Wins
M0094,2020-05-02,15:00,"Player78, Player6, Player56, Player41, Player1, Player83, Player81, Player39, Player52, Player98, Player38","Player57, Player67, Player71, Player26, Player38, Player66, Player82, Player56, Player22, Player85, Player41",Newlands,Sunny,Team_A,Bat,Team_A_Wins
M0095,2024-08-07,20:00,"Player39, Player47, Player5, Player79, Player61, Player21, Player95, Player94, Player68, Player64, Player93","Player61, Player39, Player87, Player24, Player18, Player21, Player98, Player77, Player94, Player36, Player100",Eden Gardens,Cloudy,Team_A,Bowl,Team_A_Wins
M0096,2024-11-26,15:00,"Player60, Player55, Player71, Player95, Player79, Player88, Player90, Player68, Player54, Player61, Player82","Player66, Player37, Player85, Player83, Player80, Player14, Player74, Player2, Player24, Player16, Player79",Wankhede,Rainy,Team_B,Bat,Team_B_Wins
M0097,2021-08-22,20:00,"Player58, Player37, Player71, Player97, Player82, Player38, Player39, Player25, Player26, Player42, Player86","Player67, Player77, Player60, Player23, Player55, Player35, Player74, Player46, Player66, Player90, Player27",Lord’s,Sunny,Team_A,Bat,Team_A_Wins
M0098,2022-05-24,17:00,"Player68, Player38, Player73, Player5, Player97, Player77, Player14, Player72, Player89, Player53, Player18","Player61, Player22, Player59, Player12, Player5, Player66, Player87, Player70, Player97, Player41, Player78",MCG,Rainy,Team_A,Bat,Team_B_Wins
M0099,2024-07-05,15:00,"Player46, Player36, Player94, Player75, Player71, Player69, Player56, Player90, Player8, Player43, Player68","Player74, Player93, Player28, Player82, Player75, Player90, Player11, Player10, Player97, Player61, Player71",MCG,Humid,Team_B,Bowl,Team_B_Wins
M0100,2023-09-08,19:00,"Player49, Player59, Player50, Player35, Player83, Player55, Player40, Player26, Player27, Player100, Player2","Player61, Player85, Player69, Player66, Player6, Player36, Player3, Player1, Player20, Player50, Player18",MCG,Cloudy,Team_B,Bat,Team_A_Wins
M0101,2022-05-17,17:00,"Player57, Player95, Player67, Player4, Player54, Player41, Player82, Player59, Player33, Player13, Player69","Player98, Player36, Player45, Player80, Player26, Player90, Player27, Player65, Player85, Player69, Player48",Lord’s,Rainy,Team_B,Bowl,Team_B_Wins
M0102,2020-06-15,19:00,"Player86, Player6, Player13, Player95, Player11, Player25, Player24, Player79, Player34, Player46, Player89","Player89, Player100, Player73, Player36, Player6, Player35, Player42, Player85, Player99, Player39, Player62",Lord’s,Cloudy,Team_B,Bowl,Team_A_Wins
M0103,2023-11-04,19:00,"Player39, Player71, Player59, Player52, Player29, Player44, Player18, Player47, Player26, Player50, Player74","Player39, Player84, Player62, Player82, Player27, Player12, Player13, Player30, Player31, Player85, Player88",Lord’s,Rainy,Team_A,Bat,Team_A_Wins
M0104,2020-01-26,18:00,"Player57, Player94, Player40, Player59, Player30, Player49, Player56, Player24, Player61, Player4, Player43","Player27, Player76, Player17, Player77, Player61, Player2, Player33, Player28, Player49, Player91, Player6",Newlands,Humid,Team_A,Bowl,Draw
